RteCounty,Hours of Delay,Annual Delay (hours),Annual Miles Traveled ,Year
San Francisco-280-2015,73,256500,348352104,2015
San Francisco-280-2016,83,267032,355938277,2016
San Mateo-92-2014,69,237606,297541801,2014
San Mateo-92-2015,52,557117,286446123,2015
San Mateo-92-2016,46,893349,399807718,2016
San Mateo-101-2014,18,1679388,1568341182,2014
San Mateo-101-2015,16,2259652,1984499164,2015
San Mateo-101-2016,17,2207186,2183658574,2016
San Mateo-280-2014,56,372127,1123070367,2014
San Mateo-280-2015,67,343092,1258226753,2015
San Mateo-280-2016,56,640216,1249478411,2016
San Mateo-380-2014,108,30327,88249040,2014
San Mateo-380-2015,118,25163,85664001,2015
San Mateo-380-2016,144,3073, -   ,2016
Santa Clara-17-2014,80,158381,341844547,2014
Santa Clara-17-2015,77,215342,369863259,2015
Santa Clara-25-2014,152,770,21563703,2014
Santa Clara-25-2015,141,2277,22351873,2015
Santa Clara-85-2014,42,602946,674762963,2014
Santa Clara-85-2015,34,1017477,844111446,2015
Santa Clara-87-2014,81,151948,191636010,2014
Santa Clara-87-2015,72,289428,256173959,2015
Santa Clara-101-2014,20,1410455,2252560399,2014
Santa Clara-101-2015,19,1901186,2477993165,2015
Santa Clara-152-2014,141,3176,17275479,2014
Santa Clara-152-2015,121,20531,65652305,2015
Santa Clara-156-2014,162,35,12369183,2014
Santa Clara-156-2015,152,120,2865387,2015
Santa Clara-237-2014,66,262215,296505808,2014
Santa Clara-237-2015,53,556008,363792556,2015
Santa Clara-280-2014,34,805215,969588073,2014
Santa Clara-280-2015,32,1031530,1147875663,2015
Santa Clara-680-2014,45,550139,415785963,2014
Santa Clara-680-2015,47,593788,502389973,2015
Santa Clara-880-2014,68,241194,528271141,2014
Santa Clara-880-2015,56,517706,627160303,2015
Solano-12-2016,82,294543,116824875,2016
Solano-37-2014,57,370158,127001272,2014
Solano-37-2015,112,33017,138171906,2015
Solano-37-2016,73,401274,133596381,2016
Solano-80-2014,43,556506,1901589157,2014
Solano-80-2015,46,622851,2280645773,2015
Solano-80-2016,50,828127,2268828497,2016
Solano-680-2014,125,11271,298241450,2014
Solano-680-2015,103,55809,360157119,2015
Solano-680-2016,101,123780,383121859,2016
Solano-780-2014,151,1033,95832004,2014
Solano-780-2015,132,7971,134564059,2015
Solano-780-2016,163,87,99726623,2016
Sonoma-37-2014,87,94659,80516591,2014
Sonoma-37-2015,62,419438,263219884,2015
Sonoma-37-2016,70,420453,84841655,2016
Sonoma-101-2014,39,621655,669295672,2014
Sonoma-101-2015,87,158079,1119549076,2015
Sonoma-101-2016,72,416041,1156664080,2016
