DISTANCE,INRIX_SPEED,INRIX_TIME,TNC_PUDO,name,,,,,,
0.0,12.2,0.20,4.3,105N14412_EV,,,,,,
0.0,7.0,0.34,12.7,105N14435_EV,,,,,,
0.0,11.7,0.21,0.3,105N14504_EV,,,,,,
0.0,11.6,0.21,0.9,105N14507_EV,,,,,,
0.0,8.3,0.29,1.8,105P06026_EV,,,,,,
0.0,12.4,0.19,1.5,105P10310_EV,,,,,,
0.0,16.6,0.14,2.9,105P10332_EV,,,,,,
0.0,11.4,0.21,8.8,105P10533_EV,,,,,,
0.0,12.0,0.20,3.5,105P14316_EV,,,,,,
0.0,13.0,0.18,0.2,105P14504_EV,,,,,,
0.0,12.8,0.19,0.8,105P14507_EV,,,,,,
0.0,9.3,0.26,8.0,105+10476_MD,,,,,,
0.0,22.3,0.11,0.9,105-10373_MD,,,,,,
0.0,8.6,0.28,8.0,105-10475_MD,,,,,,
0.0,14.9,0.16,32.9,105-10572_MD,,,,,,
0.0,7.6,0.32,2.8,105N10310_MD,,,,,,
0.0,10.3,0.23,6.0,105N10407_MD,,,,,,
0.0,12.3,0.20,0.6,105N10438_MD,,,,,,
0.0,9.9,0.24,13.0,105N10533_MD,,,,,,
0.0,13.0,0.18,23.3,105N10565_MD,,,,,,
0.0,11.0,0.22,2.4,105N14316_MD,,,,,,
0.0,11.5,0.21,2.9,105N14412_MD,,,,,,
0.0,6.5,0.37,18.6,105N14435_MD,,,,,,
0.0,11.3,0.21,0.4,105N14504_MD,,,,,,
0.0,11.9,0.20,0.7,105N14507_MD,,,,,,
0.0,7.6,0.31,1.9,105P06026_MD,,,,,,
0.0,12.3,0.20,2.0,105P10310_MD,,,,,,
0.0,13.5,0.18,6.3,105P10332_MD,,,,,,
0.0,10.3,0.23,5.1,105P10533_MD,,,,,,
0.0,11.1,0.22,2.4,105P14316_MD,,,,,,
0.0,10.6,0.23,0.2,105P14504_MD,,,,,,
0.0,10.5,0.23,0.9,105P14507_MD,,,,,,
0.0,9.1,0.26,3.9,105+10476_PM,,,,,,
0.0,17.0,0.14,0.4,105-10373_PM,,,,,,
0.0,8.2,0.29,3.3,105-10475_PM,,,,,,
0.0,11.8,0.20,17.6,105-10572_PM,,,,,,
0.0,6.1,0.39,1.5,105N10310_PM,,,,,,
0.0,8.1,0.30,3.1,105N10407_PM,,,,,,
0.0,9.9,0.24,0.4,105N10438_PM,,,,,,
0.0,9.5,0.25,8.2,105N10533_PM,,,,,,
0.0,5.6,0.43,10.0,105N10565_PM,,,,,,
0.0,9.9,0.24,1.1,105N14316_PM,,,,,,
0.0,13.8,0.17,1.7,105N14412_PM,,,,,,
0.0,6.1,0.40,6.1,105N14435_PM,,,,,,
0.0,11.2,0.21,0.2,105N14504_PM,,,,,,
0.0,11.2,0.21,0.3,105N14507_PM,,,,,,
0.0,7.2,0.33,1.4,105P06026_PM,,,,,,
0.0,10.7,0.22,0.7,105P10310_PM,,,,,,
0.0,15.7,0.15,1.9,105P10332_PM,,,,,,
0.0,9.0,0.27,3.7,105P10533_PM,,,,,,
0.0,10.6,0.23,1.0,105P14316_PM,,,,,,
0.0,10.4,0.23,0.1,105P14504_PM,,,,,,
0.0,12.0,0.20,0.5,105P14507_PM,,,,,,
0.0,11.5,0.18,21.1,105+10387_AM,,,,,,
0.0,13.3,0.16,3.6,105+10387_EA,,,,,,
0.0,11.5,0.18,107.3,105+10387_EV,,,,,,
0.0,11.1,0.19,54.4,105+10387_MD,,,,,,
0.0,10.1,0.21,41.4,105+10387_PM,,,,,,
0.0,12.8,0.16,1.9,105N14454_AM,,,,,,
0.0,8.8,0.23,0.7,105P14454_AM,,,,,,
0.0,12.9,0.15,0.1,105N14454_EA,,,,,,
0.0,12.6,0.16,0.1,105P14454_EA,,,,,,
0.0,15.1,0.13,3.0,105N14454_EV,,,,,,
0.0,10.5,0.19,1.3,105P14454_EV,,,,,,
0.0,11.2,0.18,3.4,105N14454_MD,,,,,,
0.0,9.5,0.21,1.6,105P14454_MD,,,,,,
0.0,13.3,0.15,0.8,105N14454_PM,,,,,,
0.0,9.4,0.21,0.6,105P14454_PM,,,,,,
0.0,8.0,0.22,0.8,105+10688_AM,,,,,,
0.0,13.0,0.14,0.3,105+10689_AM,,,,,,
0.0,25.0,0.07,0.3,105+14187_AM,,,,,,
0.0,11.6,0.16,0.7,105+14393_AM,,,,,,
0.0,13.1,0.14,0.3,105-10687_AM,,,,,,
0.0,9.7,0.19,0.4,105-10688_AM,,,,,,
0.0,20.7,0.09,0.1,105-14186_AM,,,,,,
0.0,15.3,0.12,1.3,105N06596_AM,,,,,,
0.0,11.0,0.16,0.1,105N10294_AM,,,,,,
0.0,28.1,0.06,0.3,105N10316_AM,,,,,,
0.0,10.5,0.17,3.8,105P06596_AM,,,,,,
0.0,2.1,0.86,1.6,105P10548_AM,,,,,,
0.0,8.0,0.23,0.1,105+10689_EA,,,,,,
0.0,24.6,0.07,0.0,105+14187_EA,,,,,,
0.0,9.8,0.18,0.1,105-10688_EA,,,,,,
0.0,15.4,0.12,0.5,105N06596_EA,,,,,,
0.0,29.5,0.06,0.6,105N10316_EA,,,,,,
0.0,9.6,0.19,0.8,105P06596_EA,,,,,,
0.0,5.0,0.36,0.1,105P10548_EA,,,,,,
0.0,10.4,0.17,3.8,105+10688_EV,,,,,,
0.0,15.6,0.12,1.8,105+10689_EV,,,,,,
0.0,25.6,0.07,0.5,105+14187_EV,,,,,,
0.0,10.1,0.18,7.0,105+14393_EV,,,,,,
0.0,16.6,0.11,0.8,105-10687_EV,,,,,,
0.0,9.0,0.20,1.9,105-10688_EV,,,,,,
0.0,20.5,0.09,0.9,105-14186_EV,,,,,,
0.0,15.7,0.11,12.7,105N06596_EV,,,,,,
0.0,14.5,0.12,0.5,105N10294_EV,,,,,,
0.0,28.5,0.06,5.5,105N10316_EV,,,,,,
0.0,22.5,0.08,0.2,105N14209_EV,,,,,,
0.0,8.8,0.20,13.8,105P06596_EV,,,,,,
0.0,7.4,0.24,2.6,105P10548_EV,,,,,,
0.0,9.5,0.19,1.1,105+10688_MD,,,,,,
0.0,14.1,0.13,0.8,105+10689_MD,,,,,,
0.0,25.9,0.07,0.5,105+14187_MD,,,,,,
0.0,10.0,0.18,2.3,105+14393_MD,,,,,,
0.0,13.7,0.13,0.6,105-10687_MD,,,,,,
0.0,9.2,0.20,0.9,105-10688_MD,,,,,,
0.0,20.6,0.09,0.4,105-14186_MD,,,,,,
0.0,15.8,0.11,5.7,105N06596_MD,,,,,,
0.0,14.3,0.13,0.1,105N10294_MD,,,,,,
0.0,28.0,0.06,1.2,105N10316_MD,,,,,,
0.0,18.9,0.10,0.1,105N14209_MD,,,,,,
0.0,9.9,0.18,9.0,105P06596_MD,,,,,,
0.0,7.0,0.26,5.1,105P10548_MD,,,,,,
0.0,9.7,0.19,0.9,105+10688_PM,,,,,,
0.0,14.8,0.12,0.3,105+10689_PM,,,,,,
0.0,24.1,0.07,0.1,105+14187_PM,,,,,,
0.0,7.1,0.25,1.2,105+14393_PM,,,,,,
0.0,13.2,0.14,0.3,105-10687_PM,,,,,,
0.0,7.4,0.24,0.4,105-10688_PM,,,,,,
0.0,20.5,0.09,0.4,105-14186_PM,,,,,,
0.0,15.6,0.12,4.3,105N06596_PM,,,,,,
